数据分析开发工程师,3-5年,本科,全职,未融资,西安,8k-10k,讯格软件
网络推广,1-3年,大专,全职,天使轮,西安,5k-10k,西安利尔
大客户销售（西安）,5-10年,大专,全职,D轮及以上,西安,5k-10k,酷家乐
【西安】前端开发工程师,不限,不限,全职,不需要融资,西安,9k-18k,ThoughtWorks
品牌文案经理,1-3年,本科,全职,上市公司,西安,6k-12k,Yeahmobi
技术运维工程师（中级网络工程师）,1-3年,大专,全职,未融资,西安,6k-8k,宇信融汇
前端开发工程师,3-5年,本科,全职,不需要融资,西安,7k-13k,敦煌智旅
电话销售,不限,大专,全职,未融资,西安,4K-8K,国信知识产权有限公司
艺人运营经理,3-5年,本科,全职,不需要融资,西安,5k-10k,怡迪文化
HRBP,5-10年,不限,全职,不需要融资,西安,12k-20k,ThoughtWorks
高级Java开发工程师,5-10年,本科,全职,不需要融资,西安,9k-14k,继教网
西安区FPGA逻辑开发工程师,1-3年,本科,全职,不需要融资,西安,7k-14k,贺兰云天
软件测试工程师,不限,本科,全职,A轮,西安,6k-9k,KaiOS凯系通讯科技
实施工程师(西安),1-3年,本科,全职,上市公司,西安,6k-9k,成都拓尔思
bd专员,1-3年,大专,全职,未融资,西安,4k-6k,西安美空广告有限公司
JAVA程序员,1-3年,本科,全职,未融资,西安,4k-8k,西安流固
c++,3-5年,本科,全职,B轮,西安,12k-15k,联合优创
自媒体编辑（故事小说方向）,不限,本科,全职,A轮,西安,3k-5k,每天读点故事
俄语电商运营,不限,大专,全职,不需要融资,西安,4k-6k,Star.Store
大中华商务,5-10年,本科,全职,上市公司,西安,15k-30k,Yeahmobi
web前端开发工程师(中、高级),3-5年,本科,全职,未融资,西安,5k-10k,宇信融汇
艺人经纪,1-3年,本科,全职,不需要融资,西安,3k-6k,怡迪文化
【西安】技术经理（Tech Lead）,5-10年,本科,全职,不需要融资,西安,15k-22k,ThoughtWorks
前端开发工程师（西安）,3-5年,本科,全职,不需要融资,西安,6k-8k,继教网
西安区Linux C/C++ 软件开发工程师,3-5年,本科,全职,不需要融资,西安,8k-15k,贺兰云天
有限元仿真工程师,不限,硕士,全职,未融资,西安,6k-12k,西安流固
平面设计 可在线办公,不限,不限,全职,不需要融资,西安,3k-6k,草木萌艺术中心
php开发工程师,不限,本科,全职,D轮及以上,西安,10k-20k,蜜芽
主播艺人,应届毕业生,不限,全职,不需要融资,西安,8k-16k,追逐传媒
bd,1-3年,大专,全职,天使轮,西安,7k-12k,购酷
电商销售经理,1-3年,大专,全职,不需要融资,西安,5k-8k,西安多麦电商
漫画助理,1-3年,大专,全职,未融资,西安,4k-7k,漫星球
淘宝美工,不限,大专,全职,不需要融资,西安,3k-6k,天狐新科技
技术支持专员/助理,1-3年,本科,全职,未融资,西安,4k-8k,DJI大疆创新
大中华商务,5-10年,本科,全职,上市公司,西安,15k-30k,Yeahmobi
人事专员助理,3-5年,大专,全职,不需要融资,西安,3k-5k,怡迪文化
Business Analyst 业务分析师,3-5年,本科,全职,不需要融资,西安,15k-30k,ThoughtWorks
高级java开发工程师,3-5年,本科,全职,不需要融资,西安,10k-15k,继教网
数值仿真工程师,不限,硕士,全职,未融资,西安,6k-12k,西安流固
主播艺人,不限,不限,兼职,不需要融资,西安,15k-25k,追逐传媒
电商销售经理,1-3年,大专,全职,不需要融资,西安,5k-8k,西安多麦电商
漫画助理,1-3年,大专,全职,未融资,西安,4k-7k,漫星球
淘宝美工,不限,大专,全职,不需要融资,西安,3k-6k,天狐新科技
技术支持专员/助理,1-3年,本科,全职,未融资,西安,4k-8k,DJI大疆创新
行政人力专员,3-5年,大专,全职,未融资,西安,3k-4k,联磐企服
电商客服,不限,不限,全职,不需要融资,西安,3k-6k,四久时
学科教师,应届毕业生,本科,全职,C轮,西安,6k-10k,海风教育
无线端运营专员,1-3年,大专,全职,天使轮,西安,6k-8k,乐来网络
媒介专员,不限,大专,全职,未融资,西安,4k-8k,小鱼网络
财务会计实习生,应届毕业生,不限,实习,上市公司,西安,2k-4k,Yeahmobi
行政前台,1-3年,大专,全职,不需要融资,西安,2k-4k,怡迪文化
高级测试工程师,3-5年,本科,全职,不需要融资,西安,12k-22k,ThoughtWorks
计算流体力学仿真工程师,不限,硕士,全职,未融资,西安,6k-12k,西安流固
视频主播,应届毕业生,不限,全职,不需要融资,西安,15k-25k,追逐传媒
漫画主笔,1-3年,大专,全职,未融资,西安,6k-12k,漫星球
视频编辑,1-3年,本科,全职,不需要融资,西安,3k-6k,天狐新科技
客诉专员/助理,1-3年,本科,全职,未融资,西安,4k-8k,DJI大疆创新
淘宝运营专员,1-3年,大专,全职,不需要融资,西安,4k-6k,西安多麦电商
小学在线一对一授课教师,应届毕业生,本科,全职,C轮,西安,6k-10k,海风教育
诚聘淘宝运营,1年以下,不限,全职,天使轮,西安,4k-7k,乐来网络
网络销售（下午茶、音乐、聚餐）,1-3年,大专,全职,未融资,西安,4k-8k,小鱼网络
艺人招募,1-3年,不限,全职,未融资,西安,5k-10k,壹次传媒
PHP开发,3-5年,本科,全职,未融资,西安,5k-10k,西安里恩生命科学技术有限公司
海外流量运营专家（西安）,不限,本科,全职,A轮,西安,10k-20k,爱自拍
商务专员,1-3年,大专,全职,不需要融资,西安,3k-5k,怡迪文化
前端开发工程师,3-5年,不限,全职,不需要融资,西安,11k-22k,ThoughtWorks
主播,应届毕业生,不限,实习,不需要融资,西安,15k-25k,追逐传媒
新媒体运营师,不限,本科,全职,不需要融资,西安,4k-8k,天狐新科技
客服专员/助理（电商）,1-3年,本科,全职,未融资,西安,4k-8k,DJI大疆创新
初中在线一对一授课教师,应届毕业生,本科,全职,C轮,西安,6k-10k,海风教育
天猫售前客服,1-3年,不限,全职,天使轮,西安,5k-8k,乐来网络
在线销售客服,不限,大专,全职,未融资,西安,4k-8k,小鱼网络
网络主播,不限,不限,全职,未融资,西安,10k-20k,壹次传媒
软件产品销售专员,1-3年,本科,全职,未融资,西安,3k-6k,西安里恩生命科学技术有限公司
iOS开发工程师（西安）,1-3年,本科,全职,A轮,西安,7k-14k,爱自拍
动画设计师,1-3年,不限,全职,未融资,西安,5k-10k,西安分公司（西安云天行网络）
网络推广专员,不限,不限,全职,不需要融资,西安,4k-8k,丰迈电商
cad绘图员,1-3年,本科,全职,未融资,西安,4k-6k,易品智能
兼职,不限,不限,兼职,未融资,西安,2k-4k,鹿享汇
西安-Java开发工程师,不限,不限,全职,不需要融资,西安,10k-20k,ThoughtWorks
主播艺人,应届毕业生,不限,兼职,不需要融资,西安,10k-20k,追逐传媒
网店客服,1-3年,本科,全职,不需要融资,西安,3k-6k,天狐新科技
助理技术服务主管（技术支持）,3-5年,本科,全职,未融资,西安,8k-12k,DJI大疆创新
媒介主管,1-3年,大专,全职,未融资,西安,5k-10k,小鱼网络
直播运营专员,1年以下,本科,全职,未融资,西安,5k-10k,壹次传媒
软件产品销售经理,1-3年,本科,全职,未融资,西安,4k-8k,西安里恩生命科学技术有限公司
淘宝/天猫/京东/苏宁/电商网络销售,不限,不限,全职,不需要融资,西安,4k-8k,丰迈电商
团长,不限,不限,兼职,未融资,西安,4k-8k,鹿享汇
5G网络优化工程师实习生,应届毕业生,大专,实习,未融资,西安,3k-6k,鼎盛通信
PHP工程师,3-5年,本科,全职,不需要融资,西安,6k-12k,罐罐
招聘专员,不限,本科,全职,不需要融资,西安,4k-6k,境商地产
中/高级PHP研发工程师,3-5年,大专,全职,D轮及以上,西安,10k-20k,优信集团
.net开发工程师,1-3年,本科,全职,未融资,西安,6k-8k,北京极目云健康科技有限公司
销售顾问,1-3年,大专,全职,未融资,西安,4k-8k,丝路信商
recruiter,1-3年,本科,全职,不需要融资,西安,5k-10k,ThoughtWorks
兼职,不限,不限,兼职,未融资,西安,3k-6k,鹿享汇
店铺美工/平面设计/年终奖金+待遇优,1年以下,大专,全职,不需要融资,西安,4k-8k,丰迈电商
web前端开发,1-3年,本科,全职,不需要融资,西安,6k-12k,罐罐
电商专员,不限,不限,全职,未融资,西安,4k-8k,丝路信商
IC设计工程师,1-3年,本科,全职,不需要融资,西安,8k-12k,民展科技
电话销售无责任底薪3000,不限,大专,全职,不需要融资,西安,3k-6k,鑫凯知识产权
新媒体运营,3-5年,本科,全职,天使轮,西安,6k-8k,英卓
软件测试工程师,5-10年,本科,全职,A轮,西安,8k-10k,数尊
销售经理,1-3年,本科,全职,A轮,西安,6k-12k,Wisdom Garden
数据专员,1-3年,本科,全职,不需要融资,西安,4k-6k,境商地产
销售代表,不限,大专,全职,不需要融资,西安,6k-8k,西安巴斯光年软件
销售经理,1-3年,大专,全职,A轮,西安,7k-12k,西安小巨人
市场专员,1-3年,不限,全职,未融资,西安,4k-8k,铃兰早教
有声频道运营编辑,1-3年,不限,全职,A轮,西安,3k-5k,每天读点故事
电商运营/底薪+绩效+提成/师徒制/晋升快,不限,大专,全职,不需要融资,西安,4k-8k,丰迈电商
销售代表4000+,不限,大专,全职,不需要融资,西安,3k-6k,鑫凯知识产权
高级java开发工程师,3-5年,本科,全职,天使轮,西安,13k-18k,英卓
全栈工程师,1-3年,不限,全职,A轮,西安,6k-12k,Wisdom Garden
活动策划,1-3年,大专,全职,不需要融资,西安,4k-7k,境商地产
舆情分析师,1-3年,本科,全职,A轮,西安,5k-8k,西安小巨人
产品交付经理,1年以下,不限,全职,天使轮,西安,3k-5k,欧卡智能科技
销售顾问,不限,大专,全职,不需要融资,西安,6k-12k,贝壳找房
连载/长篇小说/网文责任编辑,不限,本科,全职,A轮,西安,3k-6k,每天读点故事
大客户销售经理,5-10年,本科,全职,上市公司,西安,15k-30k,京东集团
安卓开发,不限,大专,全职,不需要融资,西安,6k-12k,耿游
射频工程师,3-5年,本科,全职,未融资,西安,13k-20k,西安朗晟法律服务有限公司
渠道运营专员,不限,大专,全职,未融资,西安,3k-6k,滔米科技
网页设计师/美工,1-3年,本科,全职,未融资,西安,4k-6k,志趣信息
上市企业销售精英,不限,大专,全职,上市公司,西安,3k-6k,中企动力
软件架构师,5-10年,本科,全职,天使轮,西安,20k-30k,英卓
Java,3-5年,不限,全职,A轮,西安,7k-14k,Wisdom Garden
房产经纪人,不限,大专,全职,不需要融资,西安,2k-4k,境商地产
新媒体监测,1-3年,本科,全职,A轮,西安,3k-4k,西安小巨人
嵌入式软件工程师,3-5年,不限,全职,天使轮,西安,9k-18k,欧卡智能科技
大客户运营经理,5-10年,本科,全职,上市公司,西安,12k-24k,京东集团
IOS开发工程师,不限,大专,全职,不需要融资,西安,6k-12k,耿游
fpga开发工程师,3-5年,本科,全职,未融资,西安,10k-18k,西安朗晟法律服务有限公司
销售专员,不限,大专,全职,上市公司,西安,4k-8k,中企动力
初级测试工程师,不限,本科,全职,未融资,西安,4k-8k,土豆数据
人事专员/招聘专员,不限,大专,全职,None,西安,4k-8k,雅丽
高级WEB工程师,5-10年,不限,全职,未融资,西安,15k-25k,盛安德西安第一分公司
运营专员,1-3年,不限,全职,不需要融资,西安,4k-7k,路通网络
梦想校区教育咨询师,不限,不限,全职,未融资,西安,5k-10k,瀚普思
兼职日结,不限,不限,兼职,未融资,西安,6k-8k,西安众泰知产
前端工程师,3-5年,本科,全职,天使轮,西安,10k-18k,英卓
Python高级工程师,5-10年,不限,全职,A轮,西安,13k-26k,Wisdom Garden
销售顾问,1-3年,大专,全职,A轮,西安,3k-5k,西安小巨人
机械结构工程师,1-3年,大专,全职,天使轮,西安,5k-9k,欧卡智能科技
前端,不限,大专,全职,不需要融资,西安,8k-16k,耿游
高级fpga工程师,3-5年,本科,全职,未融资,西安,10k-20k,西安朗晟法律服务有限公司
营销顾问,不限,大专,全职,上市公司,西安,4k-8k,中企动力
软件测试工程师,1-3年,本科,全职,未融资,西安,8k-14k,土豆数据
web前端开发培训讲师,3-5年,大专,全职,None,西安,4k-8k,雅丽
.NET高级开发工程师,5-10年,不限,全职,未融资,西安,15k-25k,盛安德西安第一分公司
急聘初/高中各科教师,1-3年,本科,全职,未融资,西安,6k-10k,瀚普思
财务实习生,不限,大专,全职,未融资,西安,4k-8k,西安众泰知产
地铁4号线安检员,不限,大专,全职,未融资,西安,2k-4k,名企
销售代表,不限,不限,全职,A轮,西安,5k-6k,智通商讯
班主任,3-5年,大专,全职,不需要融资,西安,4k-8k,千锋教育西安分校
后端开发,不限,大专,全职,不需要融资,西安,6k-12k,耿游
硬件工程师,3-5年,不限,全职,天使轮,西安,6k-10k,欧卡智能科技
销售助理,应届毕业生,大专,全职,上市公司,西安,3k-6k,中企动力
web前端开发工程师,1-3年,大专,全职,None,西安,4k-8k,雅丽
高中物理教师,1-3年,本科,全职,未融资,西安,7k-8k,瀚普思
商务代表,不限,不限,全职,未融资,西安,6k-10k,西安众泰知产
就业指导老师,1-3年,大专,全职,不需要融资,西安,4k-8k,千锋教育西安分校
渠道销售,3-5年,不限,全职,未融资,西安,5k-10k,你今天真好看
文案策划专员,1-3年,本科,全职,未融资,西安,4k-6k,布谷网络
诚聘技术杂志文章兼职写手,应届毕业生,不限,兼职,未融资,西安,2k-3k,西安檀墨
Java高级开发工程师,5-10年,大专,全职,未融资,西安,10k-20k,Huatek
农业产品助理,1-3年,大专,全职,未融资,西安,4k-6k,鹿听
活动策划执行,1-3年,大专,全职,不需要融资,西安,4k-5k,蓝色生活
Android应用工程师（西安）,3-5年,本科,全职,上市公司,西安,12k-24k,TCL电子
android开发工程师,1-3年,不限,全职,天使轮,西安,8k-12k,西安大脚丫网络科技有限公司
书法/练字老师,3-5年,大专,全职,None,西安,3k-5k,雅丽
高中英语教师,3-5年,本科,全职,未融资,西安,8k-10k,瀚普思
电话销售顾问,不限,大专,全职,未融资,西安,3k-6k,西安众泰知产
web前端讲师,3-5年,大专,全职,不需要融资,西安,12k-24k,千锋教育西安分校
C++开发工程师,3-5年,本科,全职,未融资,西安,10k-15k,Huatek
新媒体运营,1-3年,大专,全职,不需要融资,西安,3k-5k,蓝色生活
客户服务咨询（朝九晚六+周末双休,不限,不限,全职,未融资,西安,5k-8k,西安诺斯格教育
招商经理,1-3年,大专,全职,未融资,西安,5k-10k,陕西陈一堂健康产业股份有限公司
运营专员,不限,大专,全职,未融资,西安,3k-4k,拾薪
产品经理,1-3年,本科,全职,A轮,西安,8k-10k,赛斐软件
交付项目经理（西安）,3-5年,大专,全职,B轮,西安,10k-15k,爱可生
乘务学员（空乘 铁乘 海乘 地勤）,不限,大专,全职,不需要融资,西安,7k-14k,美航乘务
产品经理,1-3年,大专,全职,未融资,西安,3k-6k,师悦科技
桌面支持,1-3年,大专,全职,不需要融资,西安,5k-10k,360os
日语运营,不限,大专,全职,天使轮,西安,2k-4k,Atomobi
课程销售顾问,不限,大专,全职,不需要融资,西安,8k-15k,千锋教育西安分校
Java中级开发工程师,3-5年,本科,全职,未融资,西安,6k-10k,Huatek
社群运营,1-3年,大专,全职,不需要融资,西安,4k-6k,蓝色生活
美工设计,1-3年,大专,全职,未融资,西安,3k-5k,师悦科技
前端研发（Hybrid）,3-5年,本科,全职,未融资,西安,8k-15k,海平方
招聘实习生(J11567),1年以下,本科,实习,D轮及以上,西安,2k-4k,作业帮
web前端工程师,3-5年,本科,全职,D轮及以上,西安,8k-13k,联龙博通
PHP工程师,3-5年,本科,全职,A轮,西安,11k-20k,西安带客通网络科技有限公司
前端开发工程师,3-5年,本科,全职,B轮,西安,8k-12k,深圳成为智能交通
运营助理,不限,大专,全职,不需要融资,西安,4k-8k,亚科环保
产品项目运营助理,1-3年,大专,全职,上市公司,西安,6k-8k,润杨金融
人事专员/人事主管,不限,本科,全职,上市公司,西安,4k-8k,西安金印客
社区运营专员,不限,本科,全职,D轮及以上,西安,4k-6k,优客工场
软件开发工程师,1-3年,本科,全职,未融资,西安,5k-8k,ZOA
产品经理,3-5年,本科,全职,天使轮,西安,8k-12k,犀牛网络
课程销售顾问,不限,大专,全职,不需要融资,西安,8k-15k,千锋教育西安分校
前端开发工程师,3-5年,不限,全职,未融资,西安,8k-15k,Huatek
社群运营,1-3年,大专,全职,不需要融资,西安,4k-6k,蓝色生活
美工设计,1-3年,大专,全职,未融资,西安,3k-5k,师悦科技
产品经理,3-5年,本科,全职,A轮,西安,11k-18k,西安带客通网络科技有限公司
运营助理,不限,大专,全职,不需要融资,西安,4k-8k,亚科环保
产品项目运营助理,1-3年,大专,全职,上市公司,西安,6k-8k,润杨金融
人事专员/人事主管,不限,本科,全职,上市公司,西安,4k-8k,西安金印客
社区运营专员,不限,本科,全职,D轮及以上,西安,4k-6k,优客工场
软件开发工程师,1-3年,本科,全职,未融资,西安,5k-8k,ZOA
产品经理,3-5年,本科,全职,天使轮,西安,8k-12k,犀牛网络
行政人事,1-3年,大专,全职,未融资,西安,3k-6k,汇信知识产权
前端高级工程师,不限,本科,全职,A轮,西安,9k-18k,庖丁科技
前端开发工程师-西安,5-10年,本科,全职,C轮,西安,15k-25k,明略数据
电话销售,3-5年,不限,全职,未融资,西安,5k-8k,西安东融鑫汽车
java架构师,5-10年,本科,全职,未融资,西安,15k-25k,师悦科技
android开发工程师,3-5年,本科,全职,A轮,西安,8k-14k,西安带客通网络科技有限公司
社区运营经理,3-5年,大专,全职,不需要融资,西安,4k-8k,亚科环保
财务,1-3年,大专,全职,天使轮,西安,3k-6k,犀牛网络
商务代表,不限,不限,全职,未融资,西安,4k-8k,汇信知识产权
后端工程师,不限,本科,全职,A轮,西安,9k-18k,庖丁科技
JAVA开发工程师-西安,5-10年,本科,全职,C轮,西安,12K-20K,明略数据
高薪朝这看,3-5年,不限,全职,未融资,西安,5k-10k,西安东融鑫汽车
测试工程师,3-5年,不限,全职,D轮及以上,西安,6k-10k,思华科技
汽车精品装潢销售代表,1-3年,不限,全职,不需要融资,西安,5k-10k,金倍利嘉
区域销售总监/高级经理,3-5年,大专,全职,天使轮,西安,10k-20k,北京奇雾科技有限公司
结算专员,1-3年,大专,全职,天使轮,西安,3k-5k,象宿网络
分公司管理助理（腾讯）,1-3年,大专,全职,上市公司,西安,6k-9k,润杨金融
java 研发工程师,3-5年,本科,全职,不需要融资,西安,8k-15k,陕西花之吻企业管理有限公司
销售经理,3-5年,本科,全职,上市公司,西安,6k-12k,清鹤科技
