网络运维专员,陕西绝顶人峰网络科技有限公司,3-4.5千/月,西安-高新技术产业开发区|无工作经验|大专|招1人|05-06发布,绩效奖金|全勤奖|通讯补贴|员工旅游|节日福利|免费班车|专业培训|餐饮补贴|交通补贴|弹性工作
网络运维主管,西安尚瑞信息技术有限公司,6-8千/月,西安-高新技术产业开发区|3-4年经验|大专|招若干人|05-06发布,五险一金|绩效奖金|年终奖金|周末双休|法定节假日
诚聘运维部文员+五险,西安乾优软件科技有限公司,3-4.5千/月,西安-未央区|2年经验|大专|招2人|05-06发布,五险一金|补充医疗保险|补充公积金|员工旅游|餐饮补贴|通讯补贴|专业培训|出国机会|绩效奖金|年终奖金
运维部文员3000+,西安乾优软件科技有限公司,3-6千/月,西安-未央区|无工作经验|招2人|05-06发布,弹性工作|包住宿|五险一金|绩效奖金|节日福利|专业培训|交通补贴|高温补贴|通讯补贴|餐饮补贴
电气设备运维调试技术员,西安兴泽融通信息科技有限公司,3-4.5千/月,西安-雁塔区|无工作经验|大专|招若干人|05-06发布,
IT技术支持运维专员实习生+双休,西安兴泽融通信息科技有限公司,3-4.5千/月,西安-雁塔区|无工作经验|大专|招若干人|05-06发布,
实施工程师-实习生（陕西）,北京用友政务软件股份有限公司,87元/天,西安-雁塔区|无工作经验|本科|招若干人|04-23发布,五险一金|交通补贴|绩效奖金|年终奖金|餐饮补贴|通讯补贴|员工旅游|定期体检|专业培训
技术总监（赛格社区直营中心）,西安赛格电子市场有限公司,4-5.5千/月,西安-高新技术产业开发区|3-4年经验|大专|招1人|05-05发布,带薪年假|高温补贴|节日福利|绩效奖金|专业培训
专/***业务员,西安银河电力电子通讯有限责任公司,2-10万/年,西安|无工作经验|招5人|05-06发布,通讯补贴|双休|节日福利|年假|缴纳社保|奖金
文案策划,陕西佳桦实业有限公司,4.5-6千/月,西安-未央区|3-4年经验|大专|招2人|03-08发布|新闻学 广告学,加班补贴|餐饮补贴
系统管理员,陕西中原物业顾问有限公司,4.5-6千/月,西安-高新技术产业开发区|2年经验|大专|招1人|03-08发布|计算机网络,员工旅游|专业培训|工龄工资|非业务花红|五险一金|补充医疗保险|补充公积金|出国机会
IT工程师,西安闻泰电子科技有限公司,4.5-6千/月,西安|无工作经验|招若干人|03-08发布,
企划专员,新百丽鞋业（深圳）有限公司西安分公司,5-8千/月,西安|1年经验|本科|招若干人|03-11发布|广告学 媒体创意,五险一金|年终奖金|定期体检|专业培训|周末双休|带薪年假|绩效奖金
设备技术员（西安分公司）,陕西煤业化工技术研究院有限责任公司,6-8千/月,西安-高新技术产业开发区|5-7年经验|本科|招2人|03-12发布,五险一金|餐饮补贴|定期体检|年终奖金|绩效奖金|带薪年假|高温补贴
中级工程师,北京华软金科信息技术有限公司,0.8-1万/月,西安|5-7年经验|本科|招3人|03-12发布,五险一金|定期体检|绩效奖金|餐饮补贴|通讯补贴|周末双休
实施工程师,陕西滔搏体育商贸有限公司,4-5.5千/月,西安-莲湖区|1年经验|大专|招1人|03-13发布,五险一金|专业培训|绩效奖金|年终奖金|定期体检|周末双休|带薪年假|节日福利
文案策划,西安市王妈餐饮管理有限责任公司,3-5千/月,西安-碑林区|1年经验|大专|招1人|03-13发布,包住宿|全勤奖|包吃|专业培训|节日福利|绩效奖金
互联网在线专员,盛鼎轩商贸,3.5-5.5千/月,西安-碑林区|无工作经验|大专|招3人|03-13发布,五险一金|带薪年假|全勤奖|绩效奖金|节日福利|周末双休|专业培训|加班补贴
环保总工,陕西德惠源绿色循环环保科技股份有限公司,0.8-1万/月,西安|5-7年经验|本科|招2人|03-15发布|普通话|环境工程 环境科学,五险一金|绩效奖金|交通补贴|定期体检|年终奖金|通讯补贴|餐饮补贴|员工旅游
信息化管理,西安紫薇地产开发有限公司,,西安|无工作经验|硕士|招1人|03-15发布,
驻厂服务工程师(北京）,深圳市中钞科信金融科技有限公司,0.5-1万/月,北京-西城区|无工作经验|大专|招若干人|03-15发布,五险一金|绩效奖金|年终奖金|专业培训|员工旅游|定期体检|弹性工作
网站维护工程师,陕西法利达传媒有限公司,4.5-6千/月,西安-雁塔区|1年经验|大专|招1人|03-15发布|计算机科学 计算机应用,交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|弹性工作|社保缴纳
大数据开发工程师,杭州世平信息科技有限公司,0.8-1.5万/月,西安|3-4年经验|本科|招3人|03-15发布|计算机科学与技术,五险一金|员工旅游|交通补贴|餐饮补贴|通讯补贴|专业培训|年终奖金|定期体检
系统集成项目经理,陕西硅格科技有限公司,4-6千/月,西安-高新技术产业开发区|2年经验|大专|招若干人|03-15发布,员工旅游|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检|周末双休
网络工程师,西安雅格纳商贸有限公司,5-8千/月,西安-未央区|无工作经验|大专|招5人|03-16发布,做五休二|五险一金|绩效奖金|周末双休|节日福利|全勤奖|弹性工作|带薪年假|通讯补贴
Java高级开发工程师,陕西昆特气象服务有限公司,0.7-1.5万/月,西安-莲湖区|3-4年经验|大专|招若干人|03-17发布|英语良好|计算机科学与技术 电子信息科学与技术,员工旅游|绩效奖金|弹性工作|专业培训|定期体检
ERP实施顾问,西安善翔电子科技有限责任公司,3-8千/月,西安|无工作经验|本科|招4人|03-18发布,弹性工作|专业培训|绩效奖金|年终奖金|带薪年假|工龄工资
信息管理中心总监（信息总监）,北文时代（北京）文化有限公司,1-2万/月,北京-朝阳区|5-7年经验|本科|招若干人|03-18发布,
光伏电站站长,陕西晶元低碳经济服务中心,1-1.5万/月,榆林|3-4年经验|大专|招1人|03-18发布,五险一金|绩效奖金
驻场工程师,陕西华海信息技术有限公司,3-6千/月,西安-雁塔区|无工作经验|大专|招5人|04-12发布,周末双休|带薪年假|全勤奖|交通补贴|通讯补贴|节日福利|五险一金|员工旅游
办公室副主任（企划方向）,中建三局集团有限公司西北分公司,30-40万/年,西安|5-7年经验|本科|招1人|04-13发布,交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金
物业工程主管,西安创业物业发展有限公司,3-4.5千/月,西安-高新技术产业开发区|无工作经验|大专|招若干人|04-27发布,带薪年假|五险一金|包吃|免费班车|绩效奖金|全勤奖|节日福利|专业培训|加班补贴|高温补贴
美国应用材料公司-Database Developer,北京外企德科人力资源服务上海有限公司,1-2万/月,西安|无工作经验|本科|招1人|04-27发布,周末双休|做五休二|五险一金|补充医疗保险|弹性工作
意大利语运营储备/客服,宁波豪雅进出口集团有限公司,4-6千/月,宁波-海曙区|无工作经验|本科|招5人|04-27发布|意大利语熟练,五险|专业培训|绩效奖金|年终奖金|周末双休
机械售后工程师,江苏桂铭机械有限公司,3-6千/月,西安-雁塔区|2年经验|中专|招15人|04-27发布,五险一金|通讯补贴|年终奖金
高级技术支持工程师,北京源晨动力技术服务有限公司,1-1.5万/月,西安-碑林区|2年经验|本科|招3人|04-28发布,周末双休|带薪年假|五险一金|节日福利|专业培训|试用期全薪|定期体检|年度调薪
运营维护工程师（西安印象城项目）,金马节能科技（深圳）有限公司,4-6千/月,深圳-南山区|3-4年经验|中技|招1人|04-28发布,五险一金|绩效奖金|定期体检
后台技术维护,陕西百旺金赋信息科技有限公司,3-4千/月,西安|无工作经验|大专|招1人|04-28发布,五险一金|交通补贴|餐饮补贴|绩效奖金|年终奖金|周末双休
大数据开发工程师,西安九索数据技术股份有限公司,0.6-1.2万/月,西安-高新技术产业开发区|2年经验|本科|招4人|04-28发布,五险一金|员工旅游|绩效奖金|年终奖金|股票期权|定期体检
网络管理员,陕西天恒比高投资有限公司,4.5-6千/月,西安-高新技术产业开发区|3-4年经验|大专|招1人|04-28发布,交通补贴|餐饮补贴|定期体检|年终奖金|购车优惠|生日会|团建活动|节日福利|五险一金|通讯补贴
Java高级开发工程师,西安富立叶微电子有限责任公司,1-1.5万/月,西安-高新技术产业开发区|5-7年经验|本科|招1人|04-28发布,五险一金|补充医疗保险|员工旅游|通讯补贴|专业培训|出国机会|绩效奖金|年终奖金
IT系统工程师,海信赛维电子公司,3-4.5千/月,西安|无工作经验|招1人|04-28发布,专业培训|定期体检|五险一金|绩效奖金|年终奖金|通讯补贴
网管,西安海数多媒体技术有限公司,3.8-5千/月,西安-高新技术产业开发区|无工作经验|高中|招1人|04-28发布,做五休二|弹性工作|带薪年假|五险一金|全勤奖|加班补贴
智能计算-高级软件开发工程师,华为技术有限公司,,西安-高新技术产业开发区|无工作经验|招若干人|04-28发布,
系统维护员,西安摩尔农产品有限责任公司,2-3千/月,西安-未央区|无工作经验|大专|招若干人|04-29发布,五险一金|补充医疗保险|交通补贴|年终奖金|餐饮补贴|定期体检|股票期权
IT终端工程师(职位编号：baoneng003920),宝能汽车有限公司,0.8-1万/月,西安-西咸新区|3-4年经验|本科|招1人|04-29发布,
高级JAVA开发工程师（西安）,浙江正元智慧科技股份有限公司,1-1.8万/月,西安-高新技术产业开发区|无工作经验|招2人|04-29发布,五险一金|免费班车|交通补贴|餐饮补贴|通讯补贴|专业培训|年终奖金|定期体检
文案策划,西安乐居商置不动产有限公司,4-7千/月,西安-高新技术产业开发区|1年经验|高中|招2人|04-29发布,五险一金|绩效奖金|交通补贴|通讯补贴|全勤奖
单店工程物业副总经理,西安区域商管公司,20-30万/年,陕西省|5-7年经验|大专|招若干人|04-29发布,做五休二|包三餐|带薪年假|五险一金|节日福利|年终奖金
能效工程师（电力钢铁冶炼塑料制造化工等）,西安西拓电气股份有限公司,0.8-1.5万/月,西安-雁塔区|8-9年经验|本科|招1人|04-29发布,五险一金|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|弹性工作|带薪年假|周末双休
信息主管,陕西家世锦商业运营管理有限公司,4.5-7千/月,西安-未央区|无工作经验|招1人|04-29发布,带薪年假|五险一金|补充医疗保险|包吃|绩效奖金|节日福利
售前经理,浙江九州云信息科技有限公司,1-1.5万/月,西安|无工作经验|招若干人|04-29发布,
光伏销售经理\总监,上海汯祺企业管理咨询有限公司,1-1.5万/月,西安|2年经验|本科|招2人|04-29发布,五险一金|补充公积金|员工旅游|绩效奖金|专业培训|年终奖金
网络工程师,三星数据系统（西安）有限公司,0.6-1.3万/月,西安|无工作经验|本科|招5人|04-29发布,五险一金|带薪年假|包三餐|免费班车|绩效奖金
嵌入式研发工程师,西安沃泰科技有限公司,5-8千/月,西安-高新技术产业开发区|无工作经验|招2人|04-29发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|绩效奖金
机器人应用工程师,西安培韵智能科技有限公司,4-8千/月,西安-经济技术开发区|无工作经验|招2人|04-29发布,
交付工程师,北京西骏数据科技股份有限公司,0.8-1万/月,西安-新城区|3-4年经验|本科|招2人|04-29发布,五险一金|员工旅游|交通补贴|餐饮补贴|通讯补贴|绩效奖金|股票期权|弹性工作|专业培训|定期体检
物业工程主管,陕西正泰物业管理有限公司,3-4.5千/月,西安-新城区|无工作经验|招2人|04-30发布,
数据库工程师,陕西昱鑫科技发展有限责任公司,7-8千/月,西安|3-4年经验|本科|招1人|04-30发布,五险一金|专业培训|餐饮补贴|通讯补贴|绩效奖金|节日福利
实施工程师,湖南建研信息技术股份有限公司,2.5-5千/月,西安|1年经验|大专|招3人|04-30发布,五险一金|年终奖金|专业培训|绩效奖金|弹性工作|员工旅游
机房运行值班员,西安和发电子科技有限公司,3-3.5千/月,西安|无工作经验|中专|招6人|04-30发布,餐饮补贴|绩效奖金|年终奖金|员工旅游|五险
软件工程师（陕西区域）,广州天维信息技术股份有限公司,4-8千/月,西安|1年经验|本科|招2人|04-30发布|计算机科学与技术 软件工程,七险一金|员工旅游|餐饮补贴|专业培训|绩效奖金|股票期权|定期体检|晋升空间大
网络工程师,陕西坤同半导体科技有限公司,0.8-1.5万/月,咸阳|5-7年经验|本科|招1人|04-30发布,
.net中级软件工程师,陕西佳之易网络科技有限公司,0.8-1.2万/月,西安-高新技术产业开发区|3-4年经验|本科|招2人|04-30发布|普通话熟练,年终奖金|绩效奖金|员工旅游|节日福利|五险一金
校招实习生-可转正-2020届,北京思特奇信息技术股份有限公司,2-4千/月,西安|无工作经验|招50人|04-30发布,
MBD开发工程师,通力凯顿（北京）系统集成有限公司,1-1.5万/月,西安|3-4年经验|本科|招3人|04-30发布,五险一金|补充医疗保险|餐饮补贴|通讯补贴|弹性工作|定期体检|年终奖金|专业培训|绩效奖金
企划文案,西安市雅特展览有限公司,3.5-5千/月,西安-曲江文化新区|2年经验|大专|招2人|04-30发布|新闻学 汉语言文学,节日福利|五险|绩效奖金|周末双休
PostgreSQL DBA,西安卓恒国际旅行社有限责任公司,1.5-2万/月,西安-碑林区|2年经验|本科|招2人|04-30发布,五险一金|员工旅游|餐饮补贴|专业培训|出国机会|年终奖金|弹性工作|定期体检
PHP开发程序员,陕西太白山旅游网络科技有限公司,5.5-7千/月,西安-高新技术产业开发区|1年经验|本科|招2人|04-30发布|英语一般|计算机科学 软件工程,周末双休|五险一金|通讯补贴|高温补贴|加班补贴|餐饮补贴|绩效奖金|取暖补贴
Windchill/PDM,西安灵秀机电智能系统技术有限公司,0.6-1.5万/月,西安-高新技术产业开发区|1年经验|大专|招10人|04-30发布,绩效奖金|年终奖金|餐饮补贴|通讯补贴|员工旅游|每年多次调薪|周末双休|五险一金|专业培训|交通补贴
云服务开发工程师,郑州万书信息技术有限公司,1.5-2.5万/月,西安-雁塔区|无工作经验|招2人|04-30发布,五险一金|年终奖金|绩效奖金
Java开发工程师,远光软件股份有限公司,0.6-1万/月,西安-新城区|2年经验|大专|招2人|04-30发布|计算机信息管理,五险一金|专业培训|定期体检|通讯补贴|餐饮补贴|绩效奖金|年终奖金
销售工程师,凯特克集团凯特克贸易（上海）有限公司,5-6千/月,西安|无工作经验|招2人|04-30发布,五险一金|补充公积金|员工旅游|年终奖金|绩效奖金|定期体检
技术文案,西安亨顿软件技术有限公司,0.6-1.2万/月,西安|2年经验|大专|招1人|04-30发布,五险一金|周末双休|绩效奖金
销售代表,迈世通（北京）医疗器械有限公司,4-6千/月,西安|2年经验|中专|招5人|05-02发布,五险一金|补充医疗保险|年终奖金|绩效奖金|弹性工作|带薪年假
网络维护员,西安华阳城商业管理运营有限责任公司,3-4千/月,西安|无工作经验|大专|招1人|05-02发布,五险一金|餐饮补贴
ERP工程师,西安航天恒星科技实业（集团）有限公司,0.6-1万/月,西安|无工作经验|招2人|05-03发布,
软件测试工程师,深圳天源迪科信息技术股份有限公司驻西安办事处,6-8千/月,西安|2年经验|本科|招1人|05-03发布|软件工程,五险一金|员工旅游|年终奖金|定期体检
Java开发工程师（西安）,北京恒华伟业科技股份有限公司,0.6-1.2万/月,西安-未央区|3-4年经验|本科|招5人|05-03发布|计算机科学与技术,周末双休|带薪年假|五险一金|交通补贴|餐饮补贴|补充医疗保险
信息主管,广州芈爱服饰有限公司,4.5-6千/月,西安-碑林区|3-4年经验|大专|招若干人|05-03发布,全勤奖|节日福利|专业培训|加班补贴|绩效奖金|五险一金|带薪年假|通讯补贴|交通补贴
技术维护工程师,西安鹏程教育培训中心,4-6千/月,西安-雁塔区|3-4年经验|本科|招2人|05-03发布,
IT培训讲师（Linux）,北京中公教育科技股份有限公司,0.6-1.2万/月,西安-新城区|无工作经验|本科|招15人|04-13发布,五险一金|专业培训|定期体检|年终奖金|交通补贴|餐饮补贴|弹性工作
项目助理（双休+五险一金）,万胜商贸,3-4.5千/月,西安-雁塔区|无工作经验|大专|招3人|04-13发布,周末双休|弹性工作|带薪年假|五险一金|包住宿|全勤奖|绩效奖金|高温补贴|节日福利
集成工程师,北京宜通华瑞科技有限公司,0.7-1.2万/月,西安|2年经验|本科|招5人|04-14发布|英语熟练,五险一金|免费班车|出国机会|交通补贴|年终奖金|弹性工作|专业培训|节日福利|定期体检
短视频运营,成都绽妍生物技术有限公司,4.5-6千/月,西安-雁塔区|2年经验|大专|招3人|04-15发布,五险一金|绩效奖金|定期体检|双休
售前/售后服务,万泰（苏州）环境科技有限公司,4-4.5千/月,西安-阎良区|无工作经验|招1人|04-16发布,五险|包吃包住|加班补助
业务经理,西安高科电气科技有限公司,4.5-6千/月,西安-长安区|无工作经验|招2人|04-16发布,五险一金|弹性工作|绩效奖金
技术支持工程师,陕西金利电子有限责任公司,3.5-5千/月,西安-雁塔区|无工作经验|大专|招1人|04-16发布,
(ID67814)知名汽车公司急聘数据挖掘工程师(职位编号：67814),上海任仕达人才服务有限公司,0.8-1.1万/月,西安|2年经验|本科|招1人|04-17发布,五险一金|餐饮补贴|定期体检|周末双休|年终奖金
电力工程师,陕西旭东售电有限公司,4.5-6千/月,西安-雁塔区|3-4年经验|大专|招若干人|04-18发布|电气工程及其自动化 电气信息工程,绩效奖金|年终奖金|交通补贴|员工旅游|定期体检|专业培训
新媒体运营专员,西安报业传媒集团融媒体发展有限公司,6-8千/月,西安-经济技术开发区|3-4年经验|本科|招4人|04-18发布,
卫星地面站设备运行维护工程师,西安伟信电子科技有限公司,3.5-4.2千/月,西安-国家民用航天产业基地|无工作经验|本科|招2人|04-18发布|英语一般|测控技术与仪器 电子信息工程,免费班车|餐饮补贴|健身俱乐部
.NET软件工程师（初级）（工作地点：昆明）,云南航信空港网络有限公司,0.8-1万/月,西安|无工作经验|本科|招若干人|04-19发布|计算机科学与技术,
ERP部署和维护工程师,西安帝和电子科技有限公司,4-8千/月,西安|2年经验|招1人|04-19发布,五险一金|员工旅游|绩效奖金|年终奖金|周末双休|生日福利|员工聚餐
信息工程师(职位编号：7),西安弗斯特口腔医院有限公司,4.5-7千/月,西安-高新技术产业开发区|无工作经验|本科|招2人|04-19发布|计算机信息管理 计算机网络,五险一金|补充医疗保险
网络维护员,陕西省中业交通建筑工程有限公司,3-5千/月,西安-西咸新区|无工作经验|招1人|04-19发布,餐饮补贴|加班补贴|周末双休|五险
Java开发工程师,方元磐石资产管理股份有限公司,1-1.5万/月,西安-曲江文化新区|3-4年经验|本科|招3人|04-19发布,五险一金|餐饮补贴|通讯补贴
DBA工程师,西安鼎力信息技术有限责任公司,1.5-2.5万/月,西安-未央区|5-7年经验|大专|招2人|04-20发布,五险一金|绩效奖金|员工旅游|周末双休|餐饮补贴|免费班车
信息主管,西安时尚大街有限公司,4.5-6千/月,西安-未央区|3-4年经验|大专|招2人|04-21发布,五险一金|餐补
网络运营主管,陕西爱前方教育科技有限公司,3.6-6千/月,西安-未央区|1年经验|本科|招2人|04-21发布|英语一般|计算机科学与技术 媒体创意,五险一金|补充医疗保险|员工旅游|餐饮补贴|专业培训|绩效奖金|年终奖金|弹性工作|包住宿
技术支持/维护工程师,西安臻道信息科技有限公司,3-3.5千/月,西安-碑林区|无工作经验|大专|招10人|04-22发布|计算机网络 计算机科学与技术,员工旅游|绩效奖金|定期体检|专业培训|年终奖金
C开发工程师（实习、初级、中级）,上海平欣电子科技有限公司,0.3-1万/月,西安|无工作经验|本科|招5人|04-22发布,五险一金|员工旅游|餐饮补贴|通讯补贴|交通补贴|年终奖金
财险陕西-办公室-应用系统维护岗,太平财产保险有限公司陕西分公司,4.5-6千/月,西安|2年经验|本科|招1人|04-22发布,带薪年假|绩效奖金|节日福利|专业培训|六险三金|定期体检|年终奖金
APP界面设计实习生,西安乐纷享广告设计有限公司,4.5-6千/月,西安|无工作经验|大专|招2人|04-23发布,五险一金|绩效奖金|年终奖金|专业培训|员工旅游
IT工程师(J13537),好车酷酷二手车经纪（天津）有限公司,1-1.5万/月,西安|无工作经验|招1人|04-23发布,
云服务开发工程师,郑州苹可云科技有限公司,2-2.5万/月,北京-海淀区|3-4年经验|本科|招6人|04-23发布|英语良好,
售后技术支持工程师,全时云商务服务股份有限公司,0.8-1万/月,西安-雁塔区|3-4年经验|大专|招2人|04-23发布|普通话|计算机科学与技术 计算机信息管理,五险一金|餐饮补贴|交通补贴|通讯补贴|年终奖金|弹性工作|定期体检|节日福利
售后服务工程师,安徽舜禹水务股份有限公司,4.5-6千/月,西安|无工作经验|招10人|04-23发布,五险一金|免费班车|员工旅游|交通补贴|餐饮补贴|通讯补贴|出国机会|年终奖金|绩效奖金|定期体检
实施工程师/项目经理,北京鼎腾科技有限公司,1-1.5万/月,北京-海淀区|无工作经验|招4人|04-23发布,
IT服务支持岗(012355)(职位编号：012355),歌尔股份有限公司,6-8千/月,西安-高新技术产业开发区|5-7年经验|大专|招1人|04-24发布,
驻场技术工程师,陕西智恒数码科技有限责任公司,3-6千/月,西安-曲江文化新区|2年经验|本科|招1人|04-24发布,五险一金|员工旅游|餐饮补贴|年终奖金|通讯补贴
项目实施工程师,新智认知数据服务有限公司,4.5-6千/月,西安-莲湖区|无工作经验|大专|招2人|04-24发布,五险|餐饮补贴|定期体检|年终奖金|绩效奖金|通讯补贴
技术服务工程师（年薪15W起）,深信服科技股份有限公司,0.8-1万/月,深圳-南山区|无工作经验|本科|招6人|04-24发布,五险一金|餐饮补贴|节日福利|通讯补贴|员工旅游|专业培训|定期体检
车辆运营-西安,哈啰出行（哈罗单车hellobike）,6-8千/月,西安|无工作经验|本科|招5人|04-25发布,五险一金|交通补贴|餐饮补贴|绩效奖金|年终奖金|股票期权
信息管理（双休 + 福利）,陕西华远大药房连锁有限公司,2-3千/月,西安-莲湖区|无工作经验|招3人|04-25发布,
（西安）技术支持工程师,网强信息技术（上海）有限公司,3-4.5千/月,西安-雁塔区|无工作经验|大专|招若干人|04-25发布|英语|计算机科学与技术 计算机网络,
云平台及云桌面解决方案售前工程师,西安正保网络科技有限公司,6-8千/月,西安-高新技术产业开发区|3-4年经验|本科|招3人|04-26发布,五险一金|定期体检|绩效奖金|年终奖金|项目奖金|全勤奖金|其他嘉奖奖金|公司团建
软件工程师,西安西电开关电气有限公司,0.6-1万/月,西安-莲湖区|2年经验|本科|招若干人|04-26发布|英语良好|软件工程,五险一金|补充医疗保险|交通补贴|餐饮补贴|专业培训|绩效奖金|年终奖金|定期体检
电商运营经理,陕西东裕生物科技股份有限公司,4-8千/月,西安|2年经验|大专|招1人|04-26发布,补充医疗保险|专业培训|年终奖金|社保统筹|带薪年假
高级Java工程师-西安,北京小鱼易连科技有限公司,1-2万/月,西安|3-4年经验|本科|招1人|04-26发布,五险一金|餐饮补贴|通讯补贴|专业培训|年终奖金|股票期权|弹性工作|定期体检
无线网维护和核心网维护工程师,西安汇诚电信有限责任公司,0.8-1万/月,西安-高新技术产业开发区|3-4年经验|大专|招10人|04-26发布,弹性工作|带薪年假|五险一金|绩效奖金|节日福利|通讯补贴|专业培训|员工旅游|定期体检
高层协议软件开发工程师,西安惠雷通信技术有限公司,0.7-1.5万/月,西安-高新技术产业开发区|无工作经验|招5人|04-26发布,年终奖金|专业培训|周末双休
监控系统集成工程师(职位编号：008),陕西联创电子科技有限责任公司,5-8千/月,西安|2年经验|中专|招5人|04-26发布|普通话熟练,
项目经理,创业慧康科技股份有限公司,0.8-1万/月,陕西省|3-4年经验|大专|招2人|04-26发布,五险一金|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|股票期权|定期体检
数据开发工程师,西安天健监测仪表有限公司,0.7-1.4万/月,西安-高新技术产业开发区|3-4年经验|本科|招若干人|04-26发布,五险一金|餐饮补贴|年终奖金|绩效奖金|员工旅游|节日福利|周末双休
数据挖掘工程师,联合汽车电子有限公司西安厂,10-15万/年,西安-高新技术产业开发区|1年经验|大专|招1人|04-26发布|英语,带薪年假|五险一金|免费班车|绩效奖金|专业培训|交通补贴|高温补贴|出国机会|年终奖金|定期体检
JAVA软件工程师（资深）（西安研发分中心）(职位编号：YNT-YF-002-4),云南航信空港网络有限公司,15-20万/年,西安-高新技术产业开发区|5-7年经验|本科|招若干人|04-27发布,五险一金|绩效奖金|年终奖金|定期体检|年终13薪|周末双休
售后技术支持,陕西天成瑞源电力科技有限公司,4-5.6千/月,西安-未央区|无工作经验|大专|招5人|04-27发布,五险一金|定期体检|专业培训|员工旅游|绩效奖金|年终奖金|员工生日
PHP高级开发工程师,天天充电,0.8-1.5万/月,西安-高新技术产业开发区|无工作经验|招1人|04-27发布,五险一金|高温补贴|节日福利|专业培训|绩效奖金
网络管理/IT技术员,分众传媒,3.5-4千/月,西安|无工作经验|本科|招1人|05-05发布,五险一金|专业培训|带薪病假|生日福利|年终奖金|做五休二
数据库DBA,柳州智银通信息技术有限公司,0.7-1.1万/月,西安-经济技术开发区|3-4年经验|大专|招1人|05-05发布,五险一金|补充医疗保险|补充公积金|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检|带薪年假
网络维护工程师,陕西省商务技术学校,3-4.5千/月,西安-雁塔区|2年经验|大专|招1人|05-06发布,五险一金|免费班车|弹性工作|专业培训|餐饮补贴|绩效奖金|员工旅游|通讯补贴|交通补贴|年终奖金
软件技术(职位编号：20180501),陕西万方汽车零部件有限公司,6-10万/年,西安|1年经验|本科|招1人|05-06发布|计算机科学与技术 软件工程,五险一金|餐饮补贴|专业培训|绩效奖金|年终奖金|免费班车
暖通工程师（西安华为基地）,爱玛客服务产业（中国）有限公司郑州分公司,0.8-1万/月,西安|5-7年经验|本科|招若干人|05-06发布,五险一金|专业培训|定期体检|员工旅游
数据库开发工程师,深圳震有科技股份有限公司,0.8-1.5万/月,深圳-南山区|2年经验|招若干人|05-06发布,五险一金|补充医疗保险|员工旅游|绩效奖金|年终奖金|弹性工作|定期体检
信息系统监理员,时代鼎典工程咨询有限公司,2-3千/月,西安-碑林区|无工作经验|大专|招2人|05-06发布,五险一金|补充医疗保险|员工旅游|绩效奖金|餐饮补贴|通讯补贴|定期体检|周末双休
网络维护工程师（五险一金+双休）,西安二十一世纪生物科技有限公司,3-4.5千/月,西安-西咸新区|2年经验|本科|招1人|05-06发布,五险一金|员工旅游|绩效奖金|年终奖金|专业培训|定期体检
驻地业务代表,华略未来科技（重庆）有限公司,4-8千/月,西安|3-4年经验|大专|招2人|05-06发布,五险一金|绩效奖金|年终奖金|员工旅游|通讯补贴|周末双休|带薪年假|节日福利|全勤奖
